OBJECTID_1,OBJECTID,Name,area,D_Name,Shape_Leng,area_1,Shape_Length,Shape_Area
"26","2","15","1787",D 10,22059.3105956,17.8707762777,3828.02618621622,619724.44547716
"27","2","21","1787",D 10,22059.3105956,17.8707762777,3777.04079639693,697056.694145769
"28","2","19","1787",D 10,22059.3105956,17.8707762777,3881.19594075309,819695.823609546
"29","2","20","1787",D 10,22059.3105956,17.8707762777,4329.41777705948,1077679.81303557
"30","2","25","1787",D 10,22059.3105956,17.8707762777,3916.13506720393,821367.637367795
"31","2","23","1787",D 10,22059.3105956,17.8707762777,3704.21715217288,623740.963612403
"32","2","18","1787",D 10,22059.3105956,17.8707762777,3715.78302416131,871899.849170693
"33","5","07","947",D 7,16541.0953212,9.47452026809,7725.8882319615,2700358.91036163
"34","5","13","947",D 7,16541.0953212,9.47452026809,3346.0823968988,463999.114373954
"35","5","12","947",D 7,16541.0953212,9.47452026809,3224.17374402479,590926.64985682
"36","5","10","947",D 7,16541.0953212,9.47452026809,2806.10772129195,430500.718989842
"37","5","06","947",D 7,16541.0953212,9.47452026809,3227.99870001549,612565.175170719
"38","5","05","947",D 7,16541.0953212,9.47452026809,3763.7515607628,541393.107437171
"39","5","04","947",D 7,16541.0953212,9.47452026809,3919.42929359506,748077.6927578
"40","5","03","947",D 7,16541.0953212,9.47452026809,3881.28129952169,887683.492175897
"41","5","02","947",D 7,16541.0953212,9.47452026809,3528.95688048095,683654.796043719
"42","6","02","529",D 8,9655.5546755,5.29280665216,2744.35170907698,463811.632849037
"43","6","01","529",D 8,9655.5546755,5.29280665216,3981.01495860585,576420.635283872
"44","6","04","529",D 8,9655.5546755,5.29280665216,3310.65569953102,623491.624144785
"45","6","03","529",D 8,9655.5546755,5.29280665216,3332.53498687294,612890.290603362
"46","6","05","529",D 8,9655.5546755,5.29280665216,3176.13882927167,572432.782225158
"47","6","06","529",D 8,9655.5546755,5.29280665216,2991.98264243587,483610.439169439
"48","6","07","529",D 8,9655.5546755,5.29280665216,3561.06582797859,582005.78864155
"49","6","11","529",D 8,9655.5546755,5.29280665216,3726.2548363497,662942.580989282
"50","6","10","529",D 8,9655.5546755,5.29280665216,3359.54593066261,586723.52111347
"51","6","08","529",D 8,9655.5546755,5.29280665216,3283.92496120835,516158.715721395
"52","9","11","742",D 9,12784.7751903,7.42307010796,3436.26974100086,645959.074166852
"53","9","12","742",D 9,12784.7751903,7.42307010796,2557.14167708949,377962.624449484
"54","9","09","742",D 9,12784.7751903,7.42307010796,3202.41791869139,624956.891225442
"55","9","08","742",D 9,12784.7751903,7.42307010796,2933.07931788218,485967.412637546
"56","9","10","742",D 9,12784.7751903,7.42307010796,3761.98541985297,860781.191206848
"57","9","06","742",D 9,12784.7751903,7.42307010796,3913.19622336889,747677.353636764
"58","9","07","742",D 9,12784.7751903,7.42307010796,3291.74165694729,466364.178791258
"59","9","05","742",D 9,12784.7751903,7.42307010796,3464.75706547574,691908.341432766
"60","9","04","742",D 9,12784.7751903,7.42307010796,3450.86429241339,640485.444675562
"61","9","03","742",D 9,12784.7751903,7.42307010796,4901.66968117839,874050.272476716
"62","10","01","259",D 2,8214.50196109,2.59009886864,3679.05274379251,788054.308285923
"63","10","04","259",D 2,8214.50196109,2.59009886864,3073.15314125905,274736.636720785
"64","10","03","259",D 2,8214.50196109,2.59009886864,3343.07343092485,597748.230091572
"65","1","04","781",D 4,14203.805827,7.81027624669,3599.85781150692,701941.542241122
"66","1","03","781",D 4,14203.805827,7.81027624669,4230.37671206513,945283.071894205
"67","1","05","781",D 4,14203.805827,7.81027624669,3511.32000204519,578532.390916871
"68","1","02","781",D 4,14203.805827,7.81027624669,4192.71994814516,912134.415528053
"69","1","01","781",D 4,14203.805827,7.81027624669,4442.6591351403,783070.811328821
"70","1","07","781",D 4,14203.805827,7.81027624669,4603.82252336817,1042667.2255222
"71","1","06","781",D 4,14203.805827,7.81027624669,4884.1817074497,1014924.26776076
"72","8","01","1345",D 5,20695.2335926,13.4465076388,4229.59772753818,944347.704833154
"73","8","02","1345",D 5,20695.2335926,13.4465076388,4097.39316567119,777058.007724959
"74","8","03","1345",D 5,20695.2335926,13.4465076388,4387.72299688443,900780.748560451
"75","8","04","1345",D 5,20695.2335926,13.4465076388,5105.13978253016,958771.110532511
"76","8","08","1345",D 5,20695.2335926,13.4465076388,3694.31447440907,679492.381780834
"77","8","05","1345",D 5,20695.2335926,13.4465076388,3932.1251885396,842918.934035956
"78","8","06","1345",D 5,20695.2335926,13.4465076388,3628.43518239958,746470.118159662
"79","8","07","1345",D 5,20695.2335926,13.4465076388,3525.84873323844,750942.199685434
"80","8","09","1345",D 5,20695.2335926,13.4465076388,3293.27526399171,633886.718813571
"81","8","13","1345",D 5,20695.2335926,13.4465076388,3244.71375693039,621308.754602814
"82","8","10","1345",D 5,20695.2335926,13.4465076388,3063.11189179525,478510.647998109
"83","8","11","1345",D 5,20695.2335926,13.4465076388,3469.70390194518,500672.974588394
"84","8","12","1345",D 5,20695.2335926,13.4465076388,2980.40700566142,519496.166826206
"85","8","16","1345",D 5,20695.2335926,13.4465076388,3139.95240089618,544429.547964449
"86","8","19","1345",D 5,20695.2335926,13.4465076388,3673.31927399021,588923.115037322
"87","8","17","1345",D 5,20695.2335926,13.4465076388,3078.29113087877,540707.026862682
"88","8","15","1345",D 5,20695.2335926,13.4465076388,3395.45908237357,667841.283052928
"89","8","20","1345",D 5,20695.2335926,13.4465076388,3353.3349737136,459639.684083296
"90","8","18","1345",D 5,20695.2335926,13.4465076388,3313.99006575184,642464.312798498
"91","3","1","1039",D 1,19416.3910065,10.3904774363,4516.16398600007,790540.206433145
"92","3","2","1039",D 1,19416.3910065,10.3904774363,3527.43177652885,544049.82873904
"93","3","3","1039",D 1,19416.3910065,10.3904774363,3114.69955208421,483208.721723748
"94","3","4","1039",D 1,19416.3910065,10.3904774363,3791.55065612278,810328.051393319
"95","3","5","1039",D 1,19416.3910065,10.3904774363,4973.92876685961,1401860.81973953
"96","3","7","1039",D 1,19416.3910065,10.3904774363,4328.25716817739,875818.511797534
"97","3","6","1039",D 1,19416.3910065,10.3904774363,4100.19912066471,949281.314902101
"98","3","8","1039",D 1,19416.3910065,10.3904774363,3530.07293703831,708890.161955874
"99","3","9","1039",D 1,19416.3910065,10.3904774363,3807.11577338145,873560.048525737
"100","3","10","1039",D 1,19416.3910065,10.3904774363,4060.29827992351,863149.610088095
"101","3","11","1039",D 1,19416.3910065,10.3904774363,4243.26221170383,970240.616615868
"102","3","13","1039",D 1,19416.3910065,10.3904774363,3277.91467938322,517817.280493754
"103","4","01","679",D 6,16661.1361898,6.78682722789,3960.57277226906,794814.382328215
"104","4","02","679",D 6,16661.1361898,6.78682722789,4005.05604721586,708252.963926037
"105","4","04","679",D 6,16661.1361898,6.78682722789,3294.66303436326,663865.890293641
"106","4","05","679",D 6,16661.1361898,6.78682722789,3709.12683144898,796062.962219656
"107","4","06","679",D 6,16661.1361898,6.78682722789,5909.22588267325,1471744.56262338
"108","4","07","679",D 6,16661.1361898,6.78682722789,3851.82726222225,885281.406961579
"109","0","22","0",D 10,0,0,3519.57572484835,629228.540234444
"110","0","11","0",D 7,0,0,3036.06820686687,465613.576131595
"111","0","09","0",D 7,0,0,2690.31639786447,461047.272270767
"112","0","08","0",D 7,0,0,4028.35247642104,826335.102620434
"113","7","03","195",D 3,6508.65281529,1.9474319919,4487.33633247014,788156.125627107
"114","7","01","195",D 3,6508.65281529,1.9474319919,3162.81588463559,527436.915249459
"115","0","12","0",D 8,0,0,3409.27323786604,548078.709208986
"116","9","02","742",D 9,12784.7751903,7.42307010796,3875.79822609031,482435.128844118
"117","0","13","0",D 9,0,0,3783.48563679061,545339.682913115
"118","8","14","1345",D 5,20695.2335926,13.4465076388,3020.11411848541,447392.37180725
"119","4","03","679",D 6,16661.1361898,6.78682722789,3028.5096135461,519248.333140889
